N,анаграмма,наводка,кол-во букв,с_наводкой,без_навод,повторное,наводка_дл,анаграмма_дл,решаемость,ВО_сред,Condition,RUN,CUE,TARGET,MEMORY_REPEAT
24,группа,пурга,6,ПУРГАП,ПУПРГА,ПАГПРУ,2000,20000,0.70,14.56,1,Run1,gruppa5,gruppa6,ПАГПРУ
25,облако,бокал,6,БОКАЛО,БОЛАОК,ЛКБОАО,2000,20000,0.48,14.64,2,Run1,oblako5,oblako6,ЛКБОАО
26,пункт,кнут,5,УТПКН,ПТНУК,ТНКПУ,2000,20000,0.85,10.17,1,Run1,punkt1,punkt2,ТНКПУ
27,пенал,план,5,АНЕПЛ,НЛПЕА,ЕАНПЛ,2000,20000,0.73,11.78,1,Run2,penal1,penal2,ЕАНПЛ
28,парик,икра,5,ИКРАП,КПРАИ,РПИАК,2000,20000,0.64,15.45,1,Run2,parik1,parik2,РПИАК
29,округ,урок,5,УРОКГ,ГОУКР,КУОРГ,2000,20000,0.52,14.48,1,Run2,okrug1,okrug2,КУОРГ
30,грохот,горох,6,ОРОХТГ,РОХОГТ,ХГООТР,2000,20000,0.88,10.69,1,Run2,grohot1,grohot2,ХГООТР
31,солома,масло,6,МАСЛОО,МАОСОЛ,ОМСОЛА,2000,20000,0.73,10.99,1,Run2,soloma1,soloma2,ОМСОЛА
32,минута,туман,6,ТУМАНИ,ТИМАНУ,АНУИТМ,2000,20000,0.55,9.52,1,Run2,minuta1,minuta2,АНУИТМ
33,партия,пират,6,ИРАТЯП,ТИАРПЯ,ЯРИАТП,2000,20000,0.40,13.83,1,Run2,partiya1,partiya2,ЯРИАТП
34,доска,коса,5,САДКО,СОКАД,ОАДКС,2000,20000,0.85,10.69,2,Run2,doska3,doska4,ОАДКС
35,висок,воск,5,ВОСКИ,СОВИК,КВОИС,2000,20000,0.73,12.97,2,Run2,visok3,visok4,КВОИС
36,номер,море,5,РЕНМО,РОНЕМ,МРОНЕ,2000,20000,0.64,14.06,2,Run2,nomer3,nomer4,МРОНЕ
37,грива,игра,5,ИГРАВ,АВРИГ,РИГАВ,2000,20000,0.55,13.76,2,Run2,griva3,griva4,РИГАВ
38,тормоз,мороз,6,ОРОЗТМ,ЗРОТОМ,ОТОМРЗ,2000,20000,0.88,10.16,2,Run2,tormoz3,tormoz4,ОТОМРЗ
39,колода,лодка,6,ЛОДКАО,ЛКОДАО,ДАООЛК,2000,20000,0.73,11.81,2,Run2,koloda3,koloda4,ДАООЛК
40,сигнал,глина,6,ИНАСГЛ,ЛНИСАГ,НИГАСЛ,2000,20000,0.55,12.15,2,Run2,signal3,signal4,НИГАСЛ
41,листва,слива,6,ЛИВАТС,ВТЛИАС,САТИВЛ,2000,20000,0.45,12.51,2,Run2,listva3,listva4,САТИВЛ
42,сестра,арест,6,РЕСТСА,РЕССТА,ЕТСАСР,2000,20000,0.40,23.72,2,Run2,sestra3,sestra4,ЕТСАСР
43,мусор,морс,5,МОРСУ,МОРУС,СОУМР,2000,20000,0.94,8.89,1,Run2,musor5,musor6,СОУМР
44,ребус,брус,5,БРУСЕ,СЕУБР,УРЕСБ,2000,20000,0.76,12.81,2,Run2,rebus5,rebus6,УРЕСБ
45,вдова,вода,5,ОДАВВ,ДВВАО,АВОВД,2000,20000,0.64,13.07,1,Run2,vdova5,vdova6,АВОВД
46,схема,смех,5,СМЕХА,МАХЕС,АЕСМХ,2000,20000,0.60,19.53,2,Run2,shema5,shema6,АЕСМХ
47,борода,добро,6,ДОБРОА,БОАОРД,ОБОАРД,2000,20000,0.85,12.46,1,Run2,boroda5,boroda6,ОБОАРД
48,правда,парад,6,АРАДВП,ПРАДВА,ВАПАДР,2000,20000,0.76,10.69,2,Run2,pravda5,pravda6,ВАПАДР
49,арахис,сахар,6,АХАРИС,АСРАИХ,ИСАРХА,2000,20000,0.52,15.54,1,Run2,arahis5,arahis6,ИСАРХА
50,рецепт,перец,6,РЕЦТПЕ,ЕПЦРЕТ,ЦРЕТПЕ,2000,20000,0.48,17.03,2,Run2,recept5,recept6,ЦРЕТПЕ
51,бутон,бунт,5,НТОБУ,ОНБТУ,УТНБО,2000,20000,0.82,12.56,1,Run2,buton1,buton2,УТНБО
52,плечо,поле,5,ПОЛЕЧ,ЛПЧЕО,ЕПЛЧО,2000,20000,0.73,10.71,1,Run2,plecho1,plecho2,ЕПЛЧО
53,свита,аист,5,ИСТВА,ВСАИТ,САИВТ,2000,20000,0.61,12.58,1,Run3,svita1,svita2,САИВТ
54,залог,глаз,5,ЛАЗОГ,ГАЛОЗ,ЗОГАЛ,2000,20000,0.48,12.8,1,Run3,zalog1,zalog2,ЗОГАЛ
55,печаль,пчела,6,ПЧЕЛАЬ,ЛПЕАЬЧ,ЧЛАПЕЬ,2000,20000,0.85,12.04,1,Run3,pechal1,pechal2,ЧЛАПЕЬ
56,стакан,канат,6,НАТСКА,НСАКАТ,КСАТНА,2000,20000,0.73,11.7,1,Run3,stakan1,stakan2,КСАТНА
57,секрет,крест,6,ЕСТЕКР,ЕКЕТРС,ТЕКСРЕ,2000,20000,0.52,13.02,1,Run3,secret1,secret2,ТЕКСРЕ
58,люстра,салют,6,САЛЮТР,СЛАЮРТ,ЮСЛАРТ,2000,20000,0.42,13.14,1,Run3,lustra1,lustra2,ЮСЛАРТ
59,сосуд,соус,5,ОУСДС,ОУДСС,ДССОУ,2000,20000,0.85,11.3,2,Run3,sosud3,sosud4,ДССОУ
60,сумка,мука,5,КАСМУ,СМУАК,АУМСК,2000,20000,0.73,8.39,2,Run3,sumka3,sumka4,АУМСК
61,плита,пила,5,ЛАТПИ,ЛИТПА,ТАЛПИ,2000,20000,0.61,14.03,2,Run3,plita3,plita4,ТАЛПИ
62,стопа,пост,5,СТАПО,АТПСО,ПТАСО,2000,20000,0.45,9.97,2,Run3,stopa3,stopa4,ПТАСО
63,корова,окова,6,ОКОВАР,ОРАВКО,РОКВОА,2000,20000,0.82,12.33,2,Run3,korova3,korova4,РОКВОА
64,тряпка,пятка,6,ЯТКАРП,ПАКЯРТ,РЯКПТА,2000,20000,0.73,12.2,2,Run3,tryapka3,tryapka4,РЯКПТА
65,пробка,кобра,6,БРАПКО,КРПБАО,АРПОБК,2000,20000,0.52,13.35,2,Run3,probka3,probka4,АРПОБК
66,оправа,повар,6,ПОВАРА,ВАПАРО,ВАПОАР,2000,20000,0.42,19.67,2,Run3,oprava3,oprava4,ВАПОАР
67,голод,долг,5,ОЛГОД,ГЛООД,ЛООГД,2000,20000,0.82,12.17,1,Run3,golod5,golod6,ЛООГД
68,ширма,шрам,5,РАМИШ,АМИРШ,ШМРАИ,2000,20000,0.73,14.15,2,Run3,shirma5,shirma6,ШМРАИ
69,ствол,стол,5,СТОЛВ,ОЛТСВ,ВСОТЛ,2000,20000,0.64,13.16,1,Run3,stvol5,stvol6,ВСОТЛ
70,табло,болт,5,ЛТАБО,ЛАБТО,АОБЛТ,2000,20000,0.45,13.78,2,Run3,tablo5,tablo6,АОБЛТ
71,звезда,заезд,6,АЕЗДВЗ,ВАЗДЗЕ,ДЗЕАЗВ,2000,20000,0.85,12.6,1,Run3,zvezda5,zvezda6,ДЗЕАЗВ
72,власть,вальс,6,ВАЛЬСТ,ВТЛСЬА,ЛЬАТВС,2000,20000,0.70,12.89,2,Run3,vlast5,vlast6,ЛЬАТВС
73,порода,опора,6,ОПОРАД,ДРОПАО,АОПОДР,2000,20000,0.52,14.77,1,Run3,poroda5,poroda6,АОПОДР
74,платок,полка,6,ЛКАТПО,АПКОЛТ,КПОАЛТ,2000,20000,0.42,14.14,2,Run3,platok5,platok6,КПОАЛТ
75,солдат,стадо,6,СТАДОЛ,ЛТСАОД,ТАЛОСД,2000,20000,0.42,14.78,1,Run3,soldat5,soldat6,ТАЛОСД
76,пенсия,песня,6,ПЕСНЯИ,СИЕПЯН,ИСЕНПЯ,2000,20000,-,-,2,Run3,,,ИСЕНПЯ
77,бардак,драка,6,БДРАКА,РДААБК,АДАКРБ,2000,20000,-,-,1,Run3,,,АДАКРБ
78,свалка,слава,6,АВАКСЛ,ЛВАКАС,САКВЛА,2000,20000,-,-,2,Run3,,,САКВЛА
